Geo_Code,2031 Population Growth Rate with income 20% or under of area median household income (AMHI),2031 Population Trend with income 20% or under of area median household income (AMHI),2031 Population Growth Rate with income 21% to 50% of AMHI,2031 Population Trend with income 21% to 50% of AMHI,2031 Population Growth Rate with income 51% to 80% of AMHI,2031 Population Trend with income 51% to 80% of AMHI,2031 Population Growth Rate with income 81% to 120% of AMHI,2031 Population Trend with income 81% to 120% of AMHI,2031 Population Growth Rate with income 121% or over of AMHI,2031 Population Trend with income 121% or over of AMHI,2031 Population Growth Rate 1pp HH,2031 Population Trend 1pp HH,2031 Population Growth Rate 2pp HH,2031 Population Trend 2pp HH,2031 Population Growth Rate 3pp HH,2031 Population Trend 3pp HH,2031 Population Growth Rate 4pp HH,2031 Population Trend 4pp HH,2031 Population Growth Rate 5pp HH,2031 Population Trend 5pp HH
2461,-0.840136054,67.14285714,0.144039953,6217.857143,0.184537556,7693.571429,0.176287219,7816.428571,0.131424131,14561.42857,0.208560407,14097.85714,0.150579151,13622.85714,-0.0003861,3698.571429,0.023217247,3085,0.125541126,1857.142857
2462,-0.997802198,0.714285714,0.147024504,4915,0.094039552,5650.714286,0.042780749,5850,0.096579477,11289.28571,0.160055033,10840.71429,0.087396504,11820,-0.008859358,2557.142857,-0.159065209,1593.571429,-0.090909091,900
2463,-0.307359307,228.5714286,0.185410334,4457.142857,0.209199939,5689.285714,0.187770067,6479.285714,0.213815789,11070,0.244147539,7782.142857,0.197621839,10215.71429,0.155564112,4287.142857,0.145471833,3442.142857,0.180290298,2207.142857
2464,-0.054644809,865,0.2303794,12832.85714,0.203910004,15747.14286,0.137388025,17231.42857,0.213072157,30345,0.307641416,19765,0.209946898,26691.42857,0.08155575,11480.71429,0.088454376,11690,0.219526558,7396.428571
2465,-0.327808471,1825,0.116150767,32658.57143,0.108431059,35647.14286,0.104942995,41258.57143,0.091767151,72045.71429,0.125714286,51642.14286,0.05444661,54862.85714,0.053846154,27400,0.103204978,30266.42857,0.194494925,19249.28571
2466,-0.496547491,7030.714286,0.046817278,164758.5714,0.06086432,174623.5714,0.073869017,189527.1429,0.039789222,377875,0.068598011,367544.2857,0.015021691,268737.1429,0.010537681,116995,0.060892102,102917.1429,0.059770115,57625
2467,-0.305676856,795,0.210520218,14925.71429,0.128919861,15737.14286,0.132555158,18296.42857,0.144836336,32227.14286,0.241415027,22258.57143,0.143034019,27695.71429,0.065627266,12595.71429,0.072302223,12712.14286,0.141886976,6725.714286
2468,-0.571428571,81.42857143,0.241005938,2537.857143,0.131519274,2495,0.103796777,2886.428571,0.188193085,5204.285714,0.249084249,3897.142857,0.179969497,4973.571429,0.048906049,1746.428571,0.036866359,1607.142857,0.101694915,975
2469,-0.543778802,70.71428571,0.088702148,1665.714286,-0.015789474,1870,0.01061008,1905,0.046997389,4010,0.119278779,3458.571429,0.078844653,3948.571429,-0.09856519,1032.142857,-0.260941371,639.2857143,-0.16988417,460.7142857
2470,-0.842676311,62.14285714,0.057940199,5686.428571,0.155992096,7103.571429,0.13729417,7301.428571,0.078793831,13339.28571,0.164986251,12710,0.116059716,12762.14286,-0.01285347,3840,-0.116011505,2634.285714,0.046822742,1565
2471,-0.084033613,856.4285714,0.187340021,12259.28571,0.208447104,14857.85714,0.158267106,17072.85714,0.193809918,28818.57143,0.250861865,18919.28571,0.172856488,25580,0.124593951,11127.85714,0.148378192,11885.71429,0.208237053,6349.285714
2472,-0.419704433,420.7142857,0.157214133,8117.857143,0.143223443,8917.142857,0.139880952,10942.85714,0.124101776,17766.42857,0.239433926,13887.85714,0.125423391,16138.57143,0.019797525,6475.714286,0.030688712,6189.285714,0.143563191,3470.714286
2473,-0.273584906,770,0.151252964,12830.71429,0.13421454,14342.14286,0.060667443,14960.71429,0.140652471,29195,0.233231075,21248.57143,0.161542832,26285.71429,0.012967365,10043.57143,-0.060481804,9165,0.068936049,5360.714286
