Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Telkwa VL (5951038) 00010 ( 11.1%),"Telkwa VL (CSD, BC)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,2820,<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
  Smithers T (5951043) 00000 (  7.2%),"Smithers T (CSD, BC)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,2550,<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Bulkley-Nechako A RDA (5951051) 00000 (  7.3%),"Bulkley-Nechako A RDA (CSD, BC)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,3000,<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
  Bulkley-Nechako G RDA (5951053) 00010 ( 16.0%),"Bulkley-Nechako G RDA (CSD, BC)",79000,15800,39500,63200,94800,"<= $15,800","$15,800 - $39,500","$39,500 - $63,200","$63,200 - $94,800",">= $94,801",1975,395,987.5,1580,2370,<= $395,$395 - $988,"$988 - $1,580","$1,580 - $2,370",">= $2,371"
  Valemount VL (5953007) 00010 ( 11.8%),"Valemount VL (CSD, BC)",59200,11840,29600,47360,71040,"<= $11,840","$11,840 - $29,600","$29,600 - $47,360","$47,360 - $71,040",">= $71,041",1480,296,740,1184,1776,<= $296,$296 - $740,"$740 - $1,184","$1,184 - $1,776",">= $1,777"
  McBride VL (5953012) 00000 (  9.2%),"McBride VL (CSD, BC)",57200,11440,28600,45760,68640,"<= $11,440","$11,440 - $28,600","$28,600 - $45,760","$45,760 - $68,640",">= $68,641",1430,286,715,1144,1716,<= $286,$286 - $715,"$715 - $1,144","$1,144 - $1,716",">= $1,717"
  Fraser-Fort George H RDA (5953019) 00010 ( 11.0%),"Fraser-Fort George H RDA (CSD, BC)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,2220,<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Prince George CY (5953023) 00000 (  5.1%),"Prince George CY (CSD, BC)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,2640,<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Mackenzie DM (5953033) 00000 (  9.7%),"Mackenzie DM (CSD, BC)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Fraser-Fort George A RDA (5953038) 00000 (  7.2%),"Fraser-Fort George A RDA (CSD, BC)",114000,22800,57000,91200,136800,"<= $22,800","$22,800 - $57,000","$57,000 - $91,200","$91,200 - $136,800",">= $136,801",2850,570,1425,2280,3420,<= $570,"$570 - $1,425","$1,425 - $2,280","$2,280 - $3,420",">= $3,421"
  Fraser-Fort George C RDA (5953042) 00000 (  5.2%),"Fraser-Fort George C RDA (CSD, BC)",122000,24400,61000,97600,146400,"<= $24,400","$24,400 - $61,000","$61,000 - $97,600","$97,600 - $146,400",">= $146,401",3050,610,1525,2440,3660,<= $610,"$610 - $1,525","$1,525 - $2,440","$2,440 - $3,660",">= $3,661"
  Fraser-Fort George D RDA (5953044) 00000 (  7.3%),"Fraser-Fort George D RDA (CSD, BC)",113000,22600,56500,90400,135600,"<= $22,600","$22,600 - $56,500","$56,500 - $90,400","$90,400 - $135,600",">= $135,601",2825,565,1412.5,2260,3390,<= $565,"$565 - $1,413","$1,413 - $2,260","$2,260 - $3,390",">= $3,391"
  Fraser-Fort George E RDA (5953046) 00000 (  5.9%),"Fraser-Fort George E RDA (CSD, BC)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,2220,<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Fraser-Fort George F RDA (5953048) 00000 (  7.7%),"Fraser-Fort George F RDA (CSD, BC)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,2430,<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Fraser-Fort George G RDA (5953050) 03039 ( 37.5%),"Fraser-Fort George G RDA (CSD, BC)",,,,,,,,,,,,,,,,,,,,
  Tumbler Ridge DM (5955003) 00010 ( 16.9%),"Tumbler Ridge DM (CSD, BC)",106000,21200,53000,84800,127200,"<= $21,200","$21,200 - $53,000","$53,000 - $84,800","$84,800 - $127,200",">= $127,201",2650,530,1325,2120,3180,<= $530,"$530 - $1,325","$1,325 - $2,120","$2,120 - $3,180",">= $3,181"
  Pouce Coupe VL (5955005) 00010 ( 15.1%),"Pouce Coupe VL (CSD, BC)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Chetwynd DM (5955010) 00000 (  7.5%),"Chetwynd DM (CSD, BC)",101000,20200,50500,80800,121200,"<= $20,200","$20,200 - $50,500","$50,500 - $80,800","$80,800 - $121,200",">= $121,201",2525,505,1262.5,2020,3030,<= $505,"$505 - $1,263","$1,263 - $2,020","$2,020 - $3,030",">= $3,031"
  Dawson Creek CY (5955014) 00000 (  5.9%),"Dawson Creek CY (CSD, BC)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,2430,<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Peace River D RDA (5955021) 00010 ( 16.7%),"Peace River D RDA (CSD, BC)",103000,20600,51500,82400,123600,"<= $20,600","$20,600 - $51,500","$51,500 - $82,400","$82,400 - $123,600",">= $123,601",2575,515,1287.5,2060,3090,<= $515,"$515 - $1,288","$1,288 - $2,060","$2,060 - $3,090",">= $3,091"
  Peace River E RDA (5955023) 00010 ( 12.5%),"Peace River E RDA (CSD, BC)",113000,22600,56500,90400,135600,"<= $22,600","$22,600 - $56,500","$56,500 - $90,400","$90,400 - $135,600",">= $135,601",2825,565,1412.5,2260,3390,<= $565,"$565 - $1,413","$1,413 - $2,260","$2,260 - $3,390",">= $3,391"
  Hudson's Hope DM (5955025) 00010 ( 18.4%),"Hudson's Hope DM (CSD, BC)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,2385,<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Taylor DM (5955030) 00010 ( 13.3%),"Taylor DM (CSD, BC)",98000,19600,49000,78400,117600,"<= $19,600","$19,600 - $49,000","$49,000 - $78,400","$78,400 - $117,600",">= $117,601",2450,490,1225,1960,2940,<= $490,"$490 - $1,225","$1,225 - $1,960","$1,960 - $2,940",">= $2,941"
  Fort St. John CY (5955034) 00000 (  6.5%),"Fort St. John CY (CSD, BC)",102000,20400,51000,81600,122400,"<= $20,400","$20,400 - $51,000","$51,000 - $81,600","$81,600 - $122,400",">= $122,401",2550,510,1275,2040,3060,<= $510,"$510 - $1,275","$1,275 - $2,040","$2,040 - $3,060",">= $3,061"
  Peace River B RDA (5955040) 00020 ( 20.0%),"Peace River B RDA (CSD, BC)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,2820,<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
  Peace River C RDA (5955042) 00010 ( 11.9%),"Peace River C RDA (CSD, BC)",126000,25200,63000,100800,151200,"<= $25,200","$25,200 - $63,000","$63,000 - $100,800","$100,800 - $151,200",">= $151,201",3150,630,1575,2520,3780,<= $630,"$630 - $1,575","$1,575 - $2,520","$2,520 - $3,780",">= $3,781"
  Stikine Region RDA (5957022) 01010 ( 17.2%),"Stikine Region RDA (CSD, BC)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,1848,<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Northern Rockies RGM (5959007) 01010 ( 15.8%),"Northern Rockies RGM (CSD, BC)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,2490,<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
Alberta (48) 00000 (  5.4%),Alberta (Province),96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,2880,<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
  Cypress County MD (4801003) 00000 (  8.4%),"Cypress County MD (CSD, AL)",102000,20400,51000,81600,122400,"<= $20,400","$20,400 - $51,000","$51,000 - $81,600","$81,600 - $122,400",">= $122,401",2550,510,1275,2040,3060,<= $510,"$510 - $1,275","$1,275 - $2,040","$2,040 - $3,060",">= $3,061"
  Medicine Hat CY (4801006) 00000 (  3.4%),"Medicine Hat CY (CSD, AL)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,2340,<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Forty Mile County No. 8 MD (4801008) 00000 (  7.5%),"Forty Mile County No. 8 MD (CSD, AL)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,2400,<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Foremost VL (4801009) 00000 (  5.7%),"Foremost VL (CSD, AL)",97000,19400,48500,77600,116400,"<= $19,400","$19,400 - $48,500","$48,500 - $77,600","$77,600 - $116,400",">= $116,401",2425,485,1212.5,1940,2910,<= $485,"$485 - $1,213","$1,213 - $1,940","$1,940 - $2,910",">= $2,911"
  Bow Island T (4801014) 00000 (  2.4%),"Bow Island T (CSD, AL)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,2340,<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Redcliff T (4801018) 00000 (  6.3%),"Redcliff T (CSD, AL)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,2490,<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Warner County No. 5 MD (4802001) 00000 (  5.5%),"Warner County No. 5 MD (CSD, AL)",95000,19000,47500,76000,114000,"<= $19,000","$19,000 - $47,500","$47,500 - $76,000","$76,000 - $114,000",">= $114,001",2375,475,1187.5,1900,2850,<= $475,"$475 - $1,188","$1,188 - $1,900","$1,900 - $2,850",">= $2,851"
  Coutts VL (4802002) 00909 (  3.3%),"Coutts VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Milk River T (4802004) 00000 (  2.1%),"Milk River T (CSD, AL)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Warner VL (4802006) 00000 (  2.4%),"Warner VL (CSD, AL)",48400,9680,24200,38720,58080,"<= $9,680","$9,680 - $24,200","$24,200 - $38,720","$38,720 - $58,080",">= $58,081",1210,242,605,968,1452,<= $242,$242 - $605,$605 - $968,"$968 - $1,452",">= $1,453"
  Raymond T (4802008) 00010 ( 13.8%),"Raymond T (CSD, AL)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,2520,<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Stirling VL (4802009) 00000 (  9.9%),"Stirling VL (CSD, AL)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,2730,<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  Lethbridge County MD (4802011) 00000 (  8.1%),"Lethbridge County MD (CSD, AL)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,3000,<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
  Lethbridge CY (4802012) 00000 (  3.5%),"Lethbridge CY (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Coalhurst T (4802013) 00010 ( 12.5%),"Coalhurst T (CSD, AL)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,2760,<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  Nobleford T (4802014) 00000 (  4.6%),"Nobleford T (CSD, AL)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Barons VL (4802016) 00000 (  7.1%),"Barons VL (CSD, AL)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Picture Butte T (4802018) 00000 (  7.5%),"Picture Butte T (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Coaldale T (4802019) 00000 (  4.0%),"Coaldale T (CSD, AL)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,2730,<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  Taber MD (4802021) 00000 (  8.2%),"Taber MD (CSD, AL)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Taber T (4802022) 00000 (  3.0%),"Taber T (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Barnwell VL (4802023) 00000 (  0.0%),"Barnwell VL (CSD, AL)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,2970,<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Vauxhall T (4802029) 00000 (  2.9%),"Vauxhall T (CSD, AL)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,2145,<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  Newell County MD (4802031) 00000 (  8.4%),"Newell County MD (CSD, AL)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,2730,<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  Brooks CY (4802034) 00000 (  4.6%),"Brooks CY (CSD, AL)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,2760,<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  Duchess VL (4802036) 00000 (  4.3%),"Duchess VL (CSD, AL)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Rosemary VL (4802038) 00000 (  5.4%),"Rosemary VL (CSD, AL)",90000,18000,45000,72000,108000,"<= $18,000","$18,000 - $45,000","$45,000 - $72,000","$72,000 - $108,000",">= $108,001",2250,450,1125,1800,2700,<= $450,"$450 - $1,125","$1,125 - $1,800","$1,800 - $2,700",">= $2,701"
  Bassano T (4802039) 00000 (  4.9%),"Bassano T (CSD, AL)",69500,13900,34750,55600,83400,"<= $13,900","$13,900 - $34,750","$34,750 - $55,600","$55,600 - $83,400",">= $83,401",1737.5,347.5,868.75,1390,2085,<= $348,$348 - $869,"$869 - $1,390","$1,390 - $2,085",">= $2,086"
  Cardston County MD (4803001) 00000 (  7.8%),"Cardston County MD (CSD, AL)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,2490,<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Magrath T (4803002) 00000 (  5.5%),"Magrath T (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Improvement District No. 4 Waterton ID (4803003) 01919 ( 18.8%),"Improvement District No. 4 Waterton ID (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Cardston T (4803004) 00000 (  5.2%),"Cardston T (CSD, AL)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,2385,<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Glenwood VL (4803006) 00000 (  0.0%),"Glenwood VL (CSD, AL)",65000,13000,32500,52000,78000,"<= $13,000","$13,000 - $32,500","$32,500 - $52,000","$52,000 - $78,000",">= $78,001",1625,325,812.5,1300,1950,<= $325,$325 - $813,"$813 - $1,300","$1,300 - $1,950",">= $1,951"
  Hill Spring VL (4803008) 00909 (  0.0%),"Hill Spring VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Pincher Creek No. 9 MD (4803011) 01010 ( 13.3%),"Pincher Creek No. 9 MD (CSD, AL)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,2430,<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Pincher Creek T (4803014) 00010 ( 12.0%),"Pincher Creek T (CSD, AL)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,2145,<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  Cowley VL (4803016) 00909 (  4.2%),"Cowley VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Willow Creek No. 26 MD (4803018) 00000 (  9.4%),"Willow Creek No. 26 MD (CSD, AL)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,2265,<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Fort Macleod T (4803019) 00000 (  9.2%),"Fort Macleod T (CSD, AL)",74500,14900,37250,59600,89400,"<= $14,900","$14,900 - $37,250","$37,250 - $59,600","$59,600 - $89,400",">= $89,401",1862.5,372.5,931.25,1490,2235,<= $373,$373 - $931,"$931 - $1,490","$1,490 - $2,235",">= $2,236"
  Claresholm T (4803022) 00000 (  6.8%),"Claresholm T (CSD, AL)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
  Stavely T (4803024) 00000 (  6.0%),"Stavely T (CSD, AL)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,1965,<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Nanton T (4803026) 00000 (  3.1%),"Nanton T (CSD, AL)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,2265,<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Acadia No. 34 MD (4804001) 00000 (  7.3%),"Acadia No. 34 MD (CSD, AL)",60800,12160,30400,48640,72960,"<= $12,160","$12,160 - $30,400","$30,400 - $48,640","$48,640 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$304 - $760,"$760 - $1,216","$1,216 - $1,824",">= $1,825"
  Special Area No. 2 SA (4804004) 00010 ( 14.2%),"Special Area No. 2 SA (CSD, AL)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,2640,<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Empress VL (4804006) 00909 (  0.0%),"Empress VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Hanna T (4804011) 00000 (  6.4%),"Hanna T (CSD, AL)",75000,15000,37500,60000,90000,"<= $15,000","$15,000 - $37,500","$37,500 - $60,000","$60,000 - $90,000",">= $90,001",1875,375,937.5,1500,2250,<= $375,$375 - $938,"$938 - $1,500","$1,500 - $2,250",">= $2,251"
  Special Area No. 3 SA (4804012) 00010 ( 10.8%),"Special Area No. 3 SA (CSD, AL)",55600,11120,27800,44480,66720,"<= $11,120","$11,120 - $27,800","$27,800 - $44,480","$44,480 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$278 - $695,"$695 - $1,112","$1,112 - $1,668",">= $1,669"
  Oyen T (4804014) 00010 ( 11.4%),"Oyen T (CSD, AL)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,2175,<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  Youngstown VL (4804019) 00919 ( 10.5%),"Youngstown VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Special Area No. 4 SA (4804020) 00000 (  8.8%),"Special Area No. 4 SA (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Veteran VL (4804021) 00909 (  0.0%),"Veteran VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Consort VL (4804022) 00010 ( 14.7%),"Consort VL (CSD, AL)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,2385,<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Vulcan County MD (4805001) 00010 ( 10.5%),"Vulcan County MD (CSD, AL)",79000,15800,39500,63200,94800,"<= $15,800","$15,800 - $39,500","$39,500 - $63,200","$63,200 - $94,800",">= $94,801",1975,395,987.5,1580,2370,<= $395,$395 - $988,"$988 - $1,580","$1,580 - $2,370",">= $2,371"
  Carmangay VL (4805002) 00009 (  6.3%),"Carmangay VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Champion VL (4805004) 00000 (  4.9%),"Champion VL (CSD, AL)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Vulcan T (4805006) 00000 (  3.0%),"Vulcan T (CSD, AL)",65000,13000,32500,52000,78000,"<= $13,000","$13,000 - $32,500","$32,500 - $52,000","$52,000 - $78,000",">= $78,001",1625,325,812.5,1300,1950,<= $325,$325 - $813,"$813 - $1,300","$1,300 - $1,950",">= $1,951"
  Lomond VL (4805008) 00909 (  5.0%),"Lomond VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Milo VL (4805009) 00909 (  7.7%),"Milo VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Arrowwood VL (4805011) 00909 (  0.0%),"Arrowwood VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Wheatland County MD (4805012) 00000 (  6.4%),"Wheatland County MD (CSD, AL)",96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,2880,<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
  Strathmore T (4805018) 00000 (  2.8%),"Strathmore T (CSD, AL)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,2730,<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  Hussar VL (4805019) 00909 (  0.0%),"Hussar VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
