,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI
Geography,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status
  Peace River B RDA (5955040) 00020 ( 20.0%),275,0,110,95,50,0,365,0,65,35,145,120,190,0,20,20,50,85,155,0,0,20,35,95,235,0,0,0,45,165
  Peace River C RDA (5955042) 00010 ( 11.9%),420,50,110,115,95,50,895,0,180,195,190,320,315,0,0,0,115,155,290,0,0,20,60,195,235,0,0,55,60,125
  Stikine Region RDA (5957022) 01010 ( 17.2%),110,10,45,20,20,15,90,0,0,0,30,50,15,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0
  Northern Rockies RGM (5959007) 01010 ( 15.8%),525,0,220,105,125,65,590,0,35,150,105,290,235,0,0,60,40,125,155,0,0,0,35,95,140,0,0,0,20,105
Alberta (48) 00000 (  5.4%),394590,19275,167730,103010,67015,37565,529160,3725,67180,119155,140685,198410,240550,1110,16690,37500,61400,123850,236260,315,8015,24080,51250,152605,157175,135,3915,14835,34220,104070
  Cypress County MD (4801003) 00000 (  8.4%),405,20,175,150,35,25,880,0,145,210,250,270,320,0,35,55,45,190,395,0,0,30,65,285,270,0,0,35,75,155
  Medicine Hat CY (4801006) 00000 (  3.4%),8100,200,3705,2090,1265,840,10250,60,830,2325,2640,4390,3480,0,115,490,840,2035,3140,0,95,190,565,2300,1750,0,30,95,295,1325
  Forty Mile County No. 8 MD (4801008) 00000 (  7.5%),110,0,45,25,0,15,200,0,25,70,55,50,65,0,0,0,20,35,55,0,0,0,20,35,150,0,0,0,40,95
  Foremost VL (4801009) 00000 (  5.7%),65,0,15,15,25,0,65,0,20,0,15,20,25,0,0,0,0,0,20,0,0,0,0,15,30,0,0,0,0,0
  Bow Island T (4801014) 00000 (  2.4%),160,0,85,35,30,0,240,0,15,20,90,110,50,0,0,0,0,30,75,0,0,0,20,40,120,0,0,0,55,55
  Redcliff T (4801018) 00000 (  6.3%),480,0,210,140,95,35,845,0,65,230,250,300,300,0,0,50,95,155,275,0,0,25,55,195,215,0,0,0,60,140
  Warner County No. 5 MD (4802001) 00000 (  5.5%),125,0,50,30,30,0,285,0,40,60,65,110,50,0,0,0,0,30,85,0,0,15,20,35,120,0,0,0,35,75
  Coutts VL (4802002) 00909 (  3.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Milk River T (4802004) 00000 (  2.1%),160,0,60,45,40,20,165,0,0,45,30,75,45,0,0,0,15,25,15,0,0,0,0,0,10,0,0,0,0,10
  Warner VL (4802006) 00000 (  2.4%),55,0,25,0,15,0,60,0,0,0,30,25,30,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
  Raymond T (4802008) 00010 ( 13.8%),240,0,110,80,20,0,415,0,55,145,95,115,205,0,0,35,55,105,130,0,0,0,50,70,315,0,0,35,65,210
  Stirling VL (4802009) 00000 (  9.9%),45,0,25,0,0,0,110,0,0,35,35,30,40,0,0,0,0,20,30,0,0,0,0,15,110,0,0,0,55,45
  Lethbridge County MD (4802011) 00000 (  8.1%),380,0,180,120,55,0,815,20,120,185,250,230,290,0,25,55,60,150,360,0,0,50,125,180,505,0,0,50,140,310
  Lethbridge CY (4802012) 00000 (  3.5%),11035,380,5045,2975,1770,870,14495,35,1295,3385,4070,5715,5795,35,230,735,1360,3435,4955,0,100,335,930,3595,3170,0,40,265,635,2235
  Coalhurst T (4802013) 00010 ( 12.5%),145,0,55,45,30,0,350,0,35,110,125,75,205,0,25,40,40,95,175,0,0,20,40,110,120,0,0,0,30,75
  Nobleford T (4802014) 00000 (  4.6%),55,0,25,20,0,0,135,0,25,15,60,30,65,0,0,0,0,35,65,0,0,30,0,25,115,0,0,0,35,65
  Barons VL (4802016) 00000 (  7.1%),40,0,30,0,0,0,60,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Picture Butte T (4802018) 00000 (  7.5%),155,20,60,40,30,0,230,0,0,45,65,105,90,0,0,25,35,35,95,0,0,0,25,40,95,0,0,0,40,60
  Coaldale T (4802019) 00000 (  4.0%),630,30,330,135,95,40,1235,0,195,270,345,420,460,0,0,60,155,240,530,0,0,45,190,290,355,0,0,30,100,215
  Taber MD (4802021) 00000 (  8.2%),240,20,115,55,25,25,510,0,75,140,130,160,165,0,0,30,45,80,215,0,20,45,50,95,465,0,0,35,160,255
  Taber T (4802022) 00000 (  3.0%),875,15,365,240,185,65,1160,0,110,265,375,410,445,0,30,95,80,240,430,0,15,55,95,265,420,0,0,35,115,265
  Barnwell VL (4802023) 00000 (  0.0%),20,0,0,0,0,0,80,0,25,20,15,20,30,0,0,0,0,0,35,0,0,0,0,0,90,0,0,0,35,55
  Vauxhall T (4802029) 00000 (  2.9%),130,0,40,30,35,25,115,0,0,35,35,40,50,0,0,0,20,30,20,0,0,0,0,0,105,0,0,0,40,65
  Newell County MD (4802031) 00000 (  8.4%),410,25,185,95,65,40,740,0,85,195,215,240,160,0,0,30,50,85,310,0,15,25,65,205,260,0,20,35,80,135
  Brooks CY (4802034) 00000 (  4.6%),1075,40,485,295,200,55,1535,0,225,390,465,470,820,0,60,165,220,370,825,0,25,95,180,525,795,0,25,85,215,470
  Duchess VL (4802036) 00000 (  4.3%),85,0,40,15,15,0,105,0,15,25,30,40,100,0,0,15,30,45,45,0,0,0,0,40,40,0,0,0,15,25
  Rosemary VL (4802038) 00000 (  5.4%),30,0,0,0,0,0,50,0,20,0,0,20,15,0,0,0,0,0,20,0,0,0,15,0,15,0,0,0,15,0
  Bassano T (4802039) 00000 (  4.9%),160,0,90,45,0,0,245,0,15,65,65,100,60,0,0,0,20,40,40,0,0,0,0,35,35,0,0,0,0,25
  Cardston County MD (4803001) 00000 (  7.8%),165,0,80,25,40,0,370,0,35,80,110,130,70,0,0,0,25,20,85,0,0,0,0,65,150,0,0,0,50,90
  Magrath T (4803002) 00000 (  5.5%),165,0,95,35,20,0,305,0,55,65,55,120,90,0,0,25,25,30,70,0,0,0,20,45,190,0,0,0,35,130
  Improvement District No. 4 Waterton ID (4803003) 01919 ( 18.8%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Cardston T (4803004) 00000 (  5.2%),275,0,145,75,35,0,440,0,65,95,150,130,160,0,0,35,45,80,140,0,0,0,30,95,220,0,0,0,40,170
  Glenwood VL (4803006) 00000 (  0.0%),30,0,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
  Hill Spring VL (4803008) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Pincher Creek No. 9 MD (4803011) 01010 ( 13.3%),270,0,120,40,45,50,410,0,25,115,120,150,90,0,0,0,35,40,110,0,0,0,20,80,60,0,0,0,0,45
  Pincher Creek T (4803014) 00010 ( 12.0%),475,0,220,120,85,55,585,0,30,125,155,275,160,0,0,30,15,105,150,0,0,0,30,120,120,0,0,0,30,85
  Cowley VL (4803016) 00909 (  4.2%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Willow Creek No. 26 MD (4803018) 00000 (  9.4%),285,0,110,90,50,25,595,0,50,170,160,210,160,0,0,30,35,80,125,0,0,0,20,80,150,0,0,0,0,135
  Fort Macleod T (4803019) 00000 (  9.2%),405,0,195,95,80,35,455,0,25,140,110,175,185,0,0,20,45,115,140,0,0,0,15,115,120,0,0,0,35,75
  Claresholm T (4803022) 00000 (  6.8%),600,0,250,155,135,60,705,0,40,155,190,325,185,0,0,0,50,115,90,0,0,0,0,75,105,0,0,0,20,80
  Stavely T (4803024) 00000 (  6.0%),100,0,40,25,25,0,145,0,0,30,55,60,25,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
  Nanton T (4803026) 00000 (  3.1%),290,15,135,55,40,40,390,0,15,105,115,150,60,0,0,0,0,40,125,0,0,0,30,85,55,0,0,0,0,55
  Acadia No. 34 MD (4804001) 00000 (  7.3%),60,0,0,25,0,20,45,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Special Area No. 2 SA (4804004) 00010 ( 14.2%),130,0,60,30,0,0,130,0,0,35,30,55,30,0,0,0,0,20,45,0,0,0,0,30,20,0,0,0,0,0
  Empress VL (4804006) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Hanna T (4804011) 00000 (  6.4%),385,25,145,115,50,50,410,0,20,90,105,195,130,0,20,0,25,80,105,0,0,0,0,85,55,0,0,0,0,45
  Special Area No. 3 SA (4804012) 00010 ( 10.8%),105,0,25,30,35,0,90,0,0,15,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Oyen T (4804014) 00010 ( 11.4%),110,0,60,20,0,0,125,0,0,25,30,70,45,0,0,0,0,35,30,0,0,0,0,25,25,0,0,0,0,15
  Youngstown VL (4804019) 00919 ( 10.5%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Special Area No. 4 SA (4804020) 00000 (  8.8%),60,0,25,0,0,0,75,0,0,0,20,30,0,0,0,0,0,0,50,0,0,0,0,40,50,0,0,0,20,20
  Veteran VL (4804021) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Consort VL (4804022) 00010 ( 14.7%),70,0,35,0,0,0,110,0,0,25,35,45,25,0,0,0,0,15,25,0,0,0,0,15,35,0,0,0,0,0
  Vulcan County MD (4805001) 00010 ( 10.5%),190,0,85,35,40,15,420,0,0,95,105,195,100,0,20,0,20,55,70,0,0,0,20,40,90,0,0,0,40,50
  Carmangay VL (4805002) 00009 (  6.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Champion VL (4805004) 00000 (  4.9%),70,0,50,0,0,0,50,0,0,0,0,25,15,0,0,0,0,15,15,0,0,0,0,0,20,0,0,0,0,20
  Vulcan T (4805006) 00000 (  3.0%),285,0,130,70,45,35,355,0,0,70,120,160,75,0,0,0,0,60,35,0,0,0,0,35,45,0,0,0,0,40
  Lomond VL (4805008) 00909 (  5.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Milo VL (4805009) 00909 (  7.7%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Arrowwood VL (4805011) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Wheatland County MD (4805012) 00000 (  6.4%),470,40,235,115,40,45,960,0,150,230,255,335,345,0,25,60,65,195,275,0,0,25,65,185,230,0,0,20,45,155
  Strathmore T (4805018) 00000 (  2.8%),1240,20,620,285,250,70,1970,0,310,410,575,670,845,0,50,145,200,440,805,0,25,80,185,515,550,0,0,40,95,400
  Hussar VL (4805019) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Standard VL (4805021) 00000 (  5.4%),30,0,0,0,0,0,70,0,0,20,20,35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Rockyford VL (4805022) 00000 (  2.9%),50,0,20,20,15,0,50,0,0,0,25,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Drumheller T (4805026) 00000 (  4.8%),1125,35,435,290,240,125,1120,0,50,260,300,505,365,0,15,45,95,210,340,0,0,30,40,265,190,0,0,0,15,165
  Starland County MD (4805031) 00000 (  9.4%),140,0,55,30,25,25,145,0,0,35,50,60,25,0,0,0,0,0,35,0,0,0,0,35,30,0,0,0,0,25
  Delia VL (4805034) 00929 ( 20.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Munson VL (4805036) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Morrin VL (4805038) 01929 ( 21.4%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Kneehill County MD (4805041) 00000 (  6.4%),285,0,140,60,45,30,610,0,75,135,205,190,130,0,0,30,50,50,165,0,0,25,40,95,135,0,0,0,35,90
  Carbon VL (4805042) 00000 (  5.4%),95,0,45,35,0,0,80,0,0,15,30,30,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
  Acme VL (4805044) 00000 (  0.0%),65,0,40,0,0,0,120,0,0,20,45,50,30,0,0,0,0,0,45,0,0,0,0,35,0,0,0,0,0,0
  Linden VL (4805046) 00000 (  2.7%),75,0,0,45,15,0,125,0,0,30,20,75,25,0,0,0,0,15,45,0,0,0,15,25,20,0,0,0,0,0
  Three Hills T (4805048) 00000 (  3.4%),290,0,150,65,30,30,445,0,25,145,120,160,135,0,0,0,35,85,130,0,0,0,40,70,140,0,0,0,25,105
  Trochu T (4805049) 00000 (  7.7%),145,0,80,0,30,0,140,0,0,25,35,70,65,0,0,20,0,30,45,0,0,0,0,20,30,0,0,0,0,25
  Foothills County MD (4806001) 00000 (  4.4%),1060,190,475,190,105,105,3315,70,545,815,700,1190,1125,30,90,180,270,560,1245,0,50,130,295,765,810,0,25,85,190,510
  High River T (4806006) 00000 (  2.7%),1485,15,615,435,275,140,2250,0,180,680,690,700,730,0,15,110,170,435,700,0,35,40,130,490,540,0,0,50,70,415
  Longview VL (4806008) 00000 (  0.8%),35,0,25,0,0,0,75,0,0,25,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Turner Valley T (4806009) 00000 (  4.9%),250,0,140,65,0,25,440,0,30,95,145,160,135,0,0,20,20,90,145,0,0,20,30,100,80,0,0,0,20,55
  Black Diamond T (4806011) 00000 (  6.4%),325,0,165,60,50,30,470,0,35,130,115,195,170,0,0,0,45,115,105,0,0,0,35,65,80,0,0,0,0,55
  Okotoks T (4806012) 00000 (  3.1%),1615,115,740,405,260,95,3500,20,630,915,970,960,1750,0,135,290,475,845,2110,0,65,210,550,1275,1335,0,45,115,330,845
  Rocky View County MD (4806014) 00000 (  4.4%),1480,255,600,315,135,170,5110,70,1040,1230,1140,1625,1865,25,150,345,400,945,2495,0,125,335,570,1460,1865,0,80,185,425,1165
  Calgary CY (4806016) 00000 (  3.8%),123690,5970,51870,32070,20575,13205,157395,1205,21635,34640,40180,59735,78655,395,6090,12765,19960,39440,78675,120,2695,8365,16615,50875,49625,40,1330,5205,10660,32390
  Chestermere CY (4806017) 00000 (  2.2%),680,70,295,220,55,35,1855,0,285,495,525,535,1225,0,135,275,360,450,1525,0,75,285,455,710,1355,0,70,230,375,685
  Cochrane T (4806019) 00000 (  3.5%),2335,200,910,665,375,185,4395,25,585,1070,1235,1485,1970,0,135,325,550,950,2145,0,75,260,480,1320,1000,0,25,120,250,600
  Airdrie CY (4806021) 00000 (  1.8%),4810,260,1920,1470,805,360,8090,55,1200,2010,2335,2495,4495,0,335,755,1325,2070,5245,0,190,630,1465,2955,3195,0,90,365,920,1815
  Irricana T (4806022) 00000 (  3.4%),95,0,45,25,25,0,180,0,0,50,65,50,95,0,0,20,35,40,50,0,0,0,30,15,45,0,0,0,15,30
  Beiseker VL (4806024) 00000 (  5.6%),75,0,0,30,25,0,115,0,15,30,35,35,50,0,0,0,0,30,35,0,0,0,0,25,25,0,0,0,0,0
  Crossfield T (4806026) 00000 (  3.7%),230,35,110,50,20,15,425,0,70,80,145,125,250,0,20,45,95,90,265,0,0,0,65,170,130,0,0,0,55,65
  Mountain View County MD (4806028) 00000 (  8.2%),765,80,365,175,80,70,1720,20,240,405,475,580,490,0,20,55,85,320,480,0,0,50,95,325,425,0,0,40,70,305
  Carstairs T (4806029) 00000 (  4.9%),320,15,155,80,60,0,705,0,105,170,210,220,235,0,25,30,65,110,370,0,0,20,110,225,165,0,0,20,45,95
  Cremona VL (4806031) 00000 (  4.3%),75,0,30,0,15,0,70,0,0,20,0,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Didsbury T (4806032) 00010 ( 10.7%),510,0,250,115,85,50,820,0,70,215,220,310,270,0,0,35,60,175,245,0,0,45,50,150,160,0,0,0,30,115
  Olds T (4806034) 00000 (  6.4%),1070,20,515,280,160,100,1415,0,130,335,400,560,500,0,25,60,120,295,455,0,0,35,40,365,290,0,0,0,50,230
  Sundre T (4806036) 00000 (  6.0%),385,0,195,85,55,35,440,0,30,100,125,190,165,0,0,35,25,95,120,0,0,0,0,105,60,0,0,0,0,50
  Provost No. 52 MD (4807001) 00000 (  5.7%),160,0,95,20,25,0,240,0,20,65,40,120,50,0,0,0,0,35,65,0,0,0,25,30,60,0,0,0,0,45
  Provost T (4807002) 00000 (  2.1%),240,0,90,85,25,25,250,0,30,30,65,125,100,0,0,25,0,60,105,0,0,0,30,60,65,0,0,0,0,50
  Czar VL (4807004) 00909 (  4.8%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Hughenden VL (4807006) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Amisk VL (4807008) 00909 (  9.1%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Paintearth County No. 18 MD (4807011) 00000 (  9.0%),75,0,25,0,25,0,165,0,30,40,35,55,35,0,0,0,0,20,25,0,0,0,0,0,40,0,0,0,0,25
  Coronation T (4807012) 00000 (  6.1%),145,0,65,30,20,25,125,0,0,25,45,50,60,0,0,0,0,40,55,0,0,0,0,50,0,0,0,0,0,0
  Castor T (4807014) 00000 (  1.0%),165,0,55,55,35,20,130,0,0,25,35,70,30,0,0,0,0,20,15,0,0,0,0,0,20,0,0,0,0,20
  Halkirk VL (4807016) 00919 ( 10.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Stettler County No. 6 MD (4807019) 00010 ( 14.9%),295,0,120,70,60,20,605,0,95,155,115,235,240,0,0,35,50,145,150,0,0,0,35,90,150,0,0,0,35,105
  Big Valley VL (4807021) 01030 ( 36.6%),55,0,25,0,0,0,35,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Stettler T (4807026) 00000 (  7.5%),750,20,310,185,170,60,910,0,75,255,205,370,265,0,0,45,65,150,265,0,0,25,40,205,155,0,0,10,35,110
  White Sands SV (4807027) 03939 ( 39.1%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Rochon Sands SV (4807028) 02929 ( 26.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Donalda VL (4807029) 00909 (  3.7%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Flagstaff County MD (4807031) 00000 (  6.3%),245,0,105,75,35,30,420,0,85,75,115,145,110,0,0,15,35,55,65,0,0,0,10,50,105,0,0,0,25,85
  Alliance VL (4807032) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Forestburg VL (4807036) 00010 ( 12.3%),135,0,50,45,20,15,155,0,0,40,20,85,35,0,0,0,0,20,40,0,0,0,0,35,0,0,0,0,0,0
  Heisler VL (4807038) 00909 (  7.2%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Daysland T (4807039) 00000 (  4.7%),125,0,50,40,15,0,135,0,15,35,35,50,25,0,0,0,0,0,20,0,0,0,0,15,30,0,0,0,0,30
  Killam T (4807042) 00000 (  4.3%),130,0,40,35,40,0,160,0,15,30,55,60,40,0,0,0,0,25,60,0,0,0,0,60,0,0,0,0,0,0
  Sedgewick T (4807044) 00000 (  4.7%),105,0,45,20,0,0,150,0,0,35,50,45,45,0,0,0,0,30,40,0,0,0,15,20,0,0,0,0,0,0
  Lougheed VL (4807046) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Hardisty T (4807048) 00000 (  6.9%),75,0,35,0,0,0,85,0,0,20,25,30,20,0,0,0,0,0,25,0,0,0,0,25,25,0,0,0,0,25
  Wainwright No. 61 MD (4807049) 00000 (  5.4%),220,0,85,70,50,0,415,0,60,70,135,155,125,0,0,25,55,45,180,0,0,45,45,75,150,0,0,0,45,90
  Chauvin VL (4807051) 00000 (  8.1%),50,0,20,0,20,0,50,0,0,15,25,0,15,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0
  Edgerton VL (4807052) 00000 (  5.6%),50,0,0,35,0,0,75,0,0,15,30,30,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
  Wainwright T (4807054) 00000 (  2.8%),810,40,345,205,165,55,930,0,100,195,265,365,355,0,0,50,85,205,320,0,0,0,75,220,220,0,0,0,0,205
  Irma VL (4807056) 00000 (  5.9%),45,0,0,25,0,0,90,0,0,25,25,40,15,0,0,0,0,0,20,0,0,0,0,20,30,0,0,0,0,20
  Red Deer County MD (4808001) 00000 (  9.0%),1295,110,585,295,220,85,2785,0,390,560,775,1045,825,0,30,115,200,475,795,0,20,90,175,505,580,0,0,55,85,440
  Elnora VL (4808002) 00000 (  2.9%),65,0,0,30,0,0,50,0,0,0,0,25,20,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
  Delburne VL (4808004) 01020 ( 20.6%),95,0,60,0,0,0,155,0,0,50,40,55,55,0,0,0,0,30,40,0,0,0,0,30,20,0,0,0,0,20
  Jarvis Bay SV (4808005) 00919 ( 17.4%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Bowden T (4808006) 00000 (  9.7%),200,0,80,60,20,35,220,0,15,60,70,80,70,0,0,0,15,45,50,0,0,0,0,40,35,0,0,0,0,25
  Innisfail T (4808008) 00000 (  4.1%),1000,0,465,235,185,105,1245,0,100,305,310,525,445,0,15,45,105,275,390,0,15,25,60,285,240,0,0,0,35,200
  Penhold T (4808009) 00000 (  5.3%),265,0,130,85,35,0,450,0,60,110,115,155,245,0,0,35,70,120,245,0,0,25,80,135,100,0,0,0,45,45
  Red Deer CY (4808011) 00000 (  4.3%),11210,455,4960,2960,1760,1075,13925,50,1435,3090,4125,5220,5865,0,365,780,1510,3205,5410,0,140,485,1030,3760,3380,0,35,270,610,2465
  Sylvan Lake T (4808012) 00000 (  4.7%),1520,65,600,460,270,135,2160,20,270,560,590,725,1060,0,105,165,275,515,975,0,35,85,215,640,525,0,0,55,100,360
  Norglenwold SV (4808013) 00000 (  6.1%),25,0,0,0,0,0,60,0,0,0,15,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Lacombe County MD (4808022) 00000 (  9.7%),770,50,355,175,125,65,1335,0,145,285,335,565,385,0,0,55,90,225,375,0,0,45,40,285,295,0,0,0,70,200
  Birchcliff SV (4808023) 02939 ( 39.1%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Eckville T (4808024) 00010 ( 19.4%),115,0,55,25,25,0,145,0,25,35,35,50,60,0,0,0,0,35,45,0,0,0,0,30,35,0,0,0,0,35
  Half Moon Bay SV (4808025) 01909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Bentley T (4808026) 00000 (  5.4%),130,0,65,15,25,0,165,0,0,30,40,85,95,0,0,20,0,55,40,0,0,0,0,35,20,0,0,0,0,10
  Sunbreaker Cove SV (4808027) 03959 ( 53.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Gull Lake SV (4808028) 02909 (  4.2%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Blackfalds T (4808029) 00000 (  7.3%),660,25,225,200,160,45,1220,0,150,250,395,420,725,0,60,165,240,255,705,0,25,85,210,385,415,0,15,45,155,195
  Lacombe CY (4808031) 00000 (  4.2%),1255,40,550,360,195,110,1850,0,210,505,505,615,755,0,45,110,195,405,720,0,15,60,130,505,525,0,0,30,110,370
  Clive VL (4808032) 00000 (  4.0%),80,0,25,30,20,0,115,0,15,0,25,50,70,0,0,15,0,25,25,0,0,0,0,0,45,0,0,0,0,30
