,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
Alert Bay VL (5943008) 01111 ( 13.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,20,0,0,0,20,20,0,25,25,0,0,0,0,20,20,0
Port McNeill T (5943012) 00000 (  5.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,310,45,60,45,40,115,115,0,65,65,0,50,50,0,40,40,0
Port Alice VL (5943017) 00100 (  3.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,20,20,0,25,25,0
Port Hardy DM (5943023) 00101 (  8.9%),150,150,95,30,30,30,75,75,60,0,0,0,0,0,0,25,25,0,545,520,115,45,25,25,175,175,80,130,130,0,95,95,0,105,105,0
Mount Waddington C RDA (5943031) 00101 (  9.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0
Mount Waddington A RDA (5943037) 01101 (  9.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,70,40,0,0,0,25,25,20,20,20,10,10,10,0,15,15,0
Central Coast C RDA (5945010) 00100 (  0.0%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,30,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
Central Coast D RDA (5945012) 00100 (  0.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Edward DM (5947007) 00101 (  7.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
Prince Rupert CY (5947012) 00101 (  5.6%),270,260,150,65,55,55,145,145,95,30,30,0,15,15,0,0,0,0,1705,1660,325,120,75,75,465,465,235,400,400,0,325,325,0,400,400,0
Masset VL (5947023) 00111 ( 16.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,90,35,0,0,0,15,15,15,30,30,0,0,0,0,35,35,0
Queen Charlotte VL (5947026) 00100 (  4.8%),45,35,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,90,90,30,0,0,0,0,0,0,20,20,0,15,15,0,30,30,0
Skeena-Queen Charlotte D RDA (5947027) 00112 ( 14.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,15,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0
Port Clements VL (5947030) 00100 (  6.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skeena-Queen Charlotte E RDA (5947032) 02213 ( 17.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitimat DM (5949005) 00000 (  4.8%),55,55,25,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,655,625,145,65,35,30,190,190,115,140,140,0,100,100,0,160,160,0
Terrace CY (5949011) 00000 (  3.7%),250,245,110,35,30,15,150,150,85,50,50,0,0,0,0,0,0,0,1175,1155,275,60,45,30,365,365,230,265,265,0,255,255,0,220,220,0
Kitimat-Stikine C (Part 1) RDA (5949013) 00001 (  8.0%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,130,15,20,15,0,20,20,0,35,35,0,40,40,0,20,20,0
Kitimat-Stikine E RDA (5949018) 00001 (  5.0%),50,50,20,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,390,375,135,35,30,30,100,100,85,80,80,25,80,80,0,85,85,0
New Hazelton DM (5949024) 00111 ( 16.1%),25,25,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,60,60,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
Kitimat-Stikine B RDA (5949028) 00111 ( 17.1%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,80,20,0,0,0,0,0,0,25,25,0,0,0,0,35,35,0
Stewart DM (5949032) 00101 (  9.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
Kitimat-Stikine F RDA (5949038) 01122 ( 20.6%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
Vanderhoof DM (5951007) 00001 (  8.5%),65,65,30,0,0,0,50,50,30,0,0,0,0,0,0,0,0,0,430,410,75,55,40,25,135,135,45,110,110,0,60,60,0,70,70,0
Fraser Lake VL (5951009) 00111 ( 10.1%),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,90,25,20,0,0,20,20,20,0,0,0,20,20,0,40,40,0
Fort St. James DM (5951013) 00011 ( 13.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170,25,0,0,0,30,30,0,55,55,0,50,50,0,30,30,0
Bulkley-Nechako C RDA (5951015) 00100 (  8.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,20,20,0,0,0,0,25,25,0,20,20,0
Bulkley-Nechako D RDA (5951017) 00101 (  7.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,0,0,20,20,0,0,0,0,15,15,0,30,30,0
Bulkley-Nechako F RDA (5951019) 00011 ( 10.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,125,35,20,0,0,35,35,15,30,30,0,35,35,0,0,0,0
Burns Lake VL (5951022) 01122 ( 21.5%),80,80,20,0,0,0,20,20,0,0,0,0,0,0,0,35,35,0,190,190,45,0,0,0,55,55,40,30,30,0,50,50,0,45,45,0
Bulkley-Nechako B RDA (5951028) 00011 ( 13.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
Bulkley-Nechako E RDA (5951031) 00111 ( 13.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,70,20,0,0,0,0,0,0,20,20,0,0,0,0,20,20,0
Granisle VL (5951032) 01112 ( 18.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston DM (5951034) 00111 ( 16.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,325,55,30,30,30,100,100,25,80,80,0,50,50,0,65,65,0
Telkwa VL (5951038) 00011 ( 14.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smithers T (5951043) 00000 (  7.2%),50,50,35,30,30,20,0,0,0,0,0,0,0,0,0,0,0,0,655,650,150,35,20,20,240,240,130,155,155,0,115,115,0,120,120,0
Bulkley-Nechako A RDA (5951051) 00011 ( 10.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,205,30,30,20,0,65,65,20,55,55,0,25,25,0,35,35,0
Bulkley-Nechako G RDA (5951053) 00011 ( 13.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valemount VL (5953007) 00112 ( 12.8%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,35,0,0,0,30,30,25,20,20,0,0,0,0,45,45,0
McBride VL (5953012) 00111 ( 13.0%),35,35,25,0,0,0,15,15,0,15,15,0,0,0,0,0,0,0,80,70,30,0,0,0,0,0,0,0,0,0,20,20,0,25,25,0
Fraser-Fort George H RDA (5953019) 00101 (  8.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,15,0,0,0,20,20,0,0,0,0,25,25,0,0,0,0
Prince George CY (5953023) 00000 (  5.2%),1185,1135,615,325,275,260,585,585,355,155,155,0,80,80,0,45,45,0,8245,7905,1730,805,490,430,2465,2440,1275,2050,2050,25,1560,1560,0,1360,1360,0
Mackenzie DM (5953033) 00111 ( 10.1%),55,55,25,0,0,0,30,30,20,0,0,0,0,0,0,0,0,0,300,295,35,15,0,0,50,50,25,90,90,0,80,80,0,65,65,0
Fraser-Fort George A RDA (5953038) 00001 (  8.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
Fraser-Fort George C RDA (5953042) 00001 (  7.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,55,0,0,0,0,20,20,0,20,20,0,15,15,0,0,0,0
Fraser-Fort George D RDA (5953044) 00000 (  3.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,95,0,15,0,0,25,25,0,35,35,0,0,0,0,0,0,0
Fraser-Fort George E RDA (5953046) 00101 (  6.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fraser-Fort George F RDA (5953048) 00111 ( 11.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Fraser-Fort George G RDA (5953050) 00101 (  8.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumbler Ridge DM (5955003) 00011 ( 10.0%),40,25,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,165,30,0,0,0,35,35,20,35,35,0,55,55,0,35,35,0
Pouce Coupe VL (5955005) 00001 (  6.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chetwynd DM (5955010) 00111 ( 13.2%),60,60,30,0,0,0,30,30,15,0,0,0,0,0,0,0,0,0,255,255,35,15,0,0,65,65,25,50,50,0,60,60,0,75,75,0
Dawson Creek CY (5955014) 00101 (  8.3%),170,170,100,30,30,30,85,85,60,25,25,0,0,0,0,0,0,0,1810,1725,470,165,100,100,440,425,300,385,385,60,430,430,0,390,390,0
Peace River D RDA (5955021) 00001 (  8.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,205,30,20,0,0,35,35,0,35,35,0,85,85,0,40,40,0
Peace River E RDA (5955023) 00111 ( 16.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,160,40,25,0,0,45,45,20,40,40,0,40,40,0,25,25,0
Hudson's Hope DM (5955025) 00112 ( 16.9%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,60,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
Taylor DM (5955030) 00011 ( 10.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,0,0,0,0,35,35,0,25,25,0,15,15,0,20,20,0
Fort St. John CY (5955034) 00001 (  5.5%),275,265,145,105,100,80,105,105,65,20,20,0,15,15,0,30,30,0,2825,2730,450,200,110,95,655,645,335,740,740,20,695,695,0,535,535,0
Peace River B RDA (5955040) 00111 ( 13.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,30,30,0,20,20,0,35,35,0,50,50,0
Peace River C RDA (5955042) 00111 ( 11.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,295,35,40,30,20,65,65,0,75,75,0,85,85,0,45,45,0
Stikine Region RDA (5957022) 04333 ( 35.6%),10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,10,0,0,0,10,10,10,10,10,0,10,10,0,15,15,0
Northern Rockies RGM (5959007) 00111 ( 12.1%),75,75,25,0,0,0,40,40,20,0,0,0,0,0,0,0,0,0,490,460,85,45,25,0,125,125,70,130,130,0,120,120,0,65,65,0
Manitoba (46) 00000 (  5.3%),26850,25730,10495,5770,4735,3915,13115,13035,5195,4770,4770,1210,2080,2080,160,1105,1105,10,111375,104925,23230,9220,3395,2780,28655,28040,15445,30485,30480,4425,24165,24165,545,18845,18845,40
Stuartburn RM (4601035) 00001 (  8.2%),40,40,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,75,75,15,0,0,0,20,20,0,0,0,0,30,30,0,15,15,0
Piney RM (4601039) 00000 (  8.5%),50,50,35,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,80,70,35,0,0,0,0,0,0,25,25,0,20,20,0,25,25,0
Reynolds RM (4601043) 00111 ( 10.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitemouth RM (4601046) 00000 (  7.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,15,15,0,0,0,0,15,15,0
Pinawa LGD (4601051) 00000 (  8.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,25,0,0,0,35,35,0,30,30,0,0,0,0,20,20,0
Lac du Bonnet RM (4601057) 01000 (  6.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,30,0,0,0,40,40,20,0,0,0,20,20,0,0,0,0
Lac du Bonnet T (4601060) 00111 ( 14.1%),50,45,20,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,130,125,55,0,0,0,30,30,30,40,40,0,35,35,0,20,20,0
Alexander RM (4601071) 00000 (  6.9%),40,40,25,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,95,95,25,0,0,0,0,0,0,35,35,0,30,30,0,15,15,0
Powerview-Pine Falls T (4601075) 00101 (  7.3%),55,55,20,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,145,145,50,0,0,0,20,20,0,75,75,25,30,30,0,20,20,0
Victoria Beach RM (4601078) 00010 ( 11.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Division No. 1, Unorganized NO (4601094) 01100 (  9.0%)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson-Franklin MU (4602024) 00000 (  7.3%),45,45,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,100,100,20,0,0,0,30,30,20,25,25,0,25,25,0,20,20,0
De Salaberry RM (4602032) 00001 (  9.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,20,0,0,0,25,25,0,25,25,0,0,0,0,0,0,0
St-Pierre-Jolys VL (4602037) 00010 ( 10.3%),40,40,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,115,115,40,0,0,0,40,40,35,30,30,0,15,15,0,15,15,0
Hanover RM (4602041) 00000 (  6.0%),50,45,20,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,620,605,130,35,0,0,165,165,110,185,185,0,150,150,0,80,80,0
Steinbach CY (4602044) 00000 (  4.5%),320,320,150,65,65,55,150,150,70,60,60,20,35,35,0,15,15,0,1795,1730,395,85,25,20,415,410,270,615,615,95,360,360,0,315,315,0
Niverville T (4602046) 00000 (  2.7%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,265,65,25,20,0,110,110,55,45,45,0,60,60,0,25,25,0
La Broquerie RM (4602053) 00011 ( 11.9%),75,70,35,0,0,0,50,50,35,0,0,0,0,0,0,0,0,0,240,235,65,25,15,15,70,70,40,80,80,0,50,50,0,0,0,0
Ste. Anne RM (4602057) 00011 ( 10.0%),25,25,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,120,120,30,0,0,0,30,30,20,20,20,0,30,30,0,35,35,0
Ste. Anne T (4602061) 00000 (  5.8%),110,110,30,0,0,0,60,60,20,40,40,0,0,0,0,0,0,0,210,210,40,0,0,0,60,60,35,60,60,0,30,30,0,50,50,0
Taché RM (4602069) 00000 (  5.5%),35,35,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,345,335,85,30,25,25,110,110,55,100,100,0,75,75,0,30,30,0
Ritchot RM (4602075) 00000 (  4.8%),30,30,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,175,175,40,0,0,0,75,75,35,35,35,0,35,35,0,30,30,0
Montcalm RM (4603030) 00000 (  9.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,30,30,0,0,0,0,25,25,0,0,0,0
Altona T (4603040) 00000 (  4.5%),55,55,35,15,15,15,30,30,0,0,0,0,0,0,0,0,0,0,410,410,65,0,0,0,150,150,65,135,135,0,85,85,0,40,40,0
Rhineland MU (4603041) 00000 (  5.6%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,115,0,0,0,0,25,25,0,35,35,0,30,30,0,25,25,0
Stanley RM (4603047) 00000 (  5.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,70,20,0,0,0,0,0,0,40,40,15,0,0,0,20,20,0
Winkler CY (4603050) 00000 (  6.1%),230,230,70,35,35,25,120,120,40,40,40,0,20,20,0,0,0,0,1055,1020,150,65,20,15,280,280,105,245,245,30,270,270,0,195,195,0
Morden CY (4603053) 00000 (  5.1%),140,135,50,30,25,20,80,80,25,30,30,0,0,0,0,0,0,0,720,695,100,60,35,25,210,210,45,235,235,20,125,125,0,85,85,0
Thompson RM (4603058) 00111 ( 13.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
Roland RM (4603062) 00000 (  9.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
Morris RM (4603065) 00000 (  3.1%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,25,25,0,20,20,0,15,15,0,20,20,0
Morris T (4603067) 00000 (  7.4%),40,40,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,180,180,45,0,0,0,40,40,25,65,65,0,35,35,0,35,35,0
Dufferin RM (4603072) 00000 (  5.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,0,0,0,0,0,0,0,30,30,0,15,15,0,0,0,0
Carman T (4603074) 00000 (  7.8%),95,90,25,0,0,0,55,50,0,25,25,0,0,0,0,0,0,0,300,295,25,0,0,0,55,55,0,120,120,0,60,60,0,55,55,0
Pembina MU (4604034) 00000 (  4.3%),30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,95,95,35,0,0,0,30,30,25,30,30,0,15,15,0,20,20,0
Louise MU (4604040) 00000 (  4.2%),50,50,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,90,90,25,0,0,0,25,25,0,25,25,0,30,30,0,0,0,0
Cartwright-Roblin MU (4604052) 00000 (  4.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argyle RM (4604057) 01010 ( 11.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorne MU (4604064) 00000 (  7.5%),40,40,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,165,160,0,0,0,0,60,60,0,30,30,0,45,45,0,20,20,0
Killarney - Turtle Mountain RM (4605025) 00000 (  5.4%),45,45,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,270,260,15,25,0,0,50,50,0,75,75,0,60,60,0,65,65,0
Boissevain-Morton MU (4605032) 00000 (  8.5%),40,40,30,20,20,20,0,0,0,15,15,0,0,0,0,0,0,0,130,130,40,0,0,0,25,25,20,60,60,0,20,20,0,20,20,0
Deloraine-Winchester MU (4605038) 00001 (  7.9%),45,45,20,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
Brenda-Waskada MU (4605044) 00001 (  7.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melita T (4605052) 00000 (  5.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two Borders MU (4605056) 00000 (  5.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grassland MU (4605062) 00001 (  9.5%),20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prairie Lakes RM (4605071) 00000 (  8.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sifton RM (4606016) 00000 (  5.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,20,0,0,0,0,0,0,30,30,20,0,0,0,0,0,0
Pipestone RM (4606023) 00000 (  2.4%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,105,0,0,0,0,20,20,0,25,25,0,30,30,0,30,30,0
Wallace-Woodworth RM (4606031) 00000 (  2.5%),30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,105,105,40,20,20,0,0,0,0,25,25,15,25,25,0,25,25,0
Virden T (4606034) 00000 (  4.4%),70,70,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,315,315,35,25,25,20,100,100,15,85,85,0,75,75,0,30,30,0
Glenboro-South Cypress MU (4607039) 00000 (  6.2%),15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,55,55,30,0,0,0,15,15,0,20,20,0,0,0,0,0,0,0
Oakland-Wawanesa MU (4607046) 00000 (  7.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,25,25,0,15,15,0,0,0,0,0,0,0
Souris-Glenwood MU (4607052) 00100 (  6.8%),70,70,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,190,185,40,0,0,0,70,70,40,55,55,0,35,35,0,25,25,0
Whitehead RM (4607057) 00000 (  6.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
Cornwallis RM (4607060) 00000 (  4.8%),130,130,0,0,0,0,0,0,0,40,40,0,50,50,0,40,40,0,520,520,0,0,0,0,30,30,0,105,105,0,260,260,0,125,125,0
Brandon CY (4607062) 00000 (  4.4%),1550,1510,530,305,270,215,775,770,260,300,300,50,115,115,0,60,60,0,6150,5890,865,445,210,150,1510,1480,590,1800,1800,125,1310,1310,0,1085,1085,0
North Cypress-Langford MU (4607066) 01100 (  6.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0
Carberry T (4607068) 00000 (  5.3%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,205,0,0,0,0,75,75,0,45,45,0,55,55,0,30,30,0
Elton RM (4607071) 00000 (  7.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverdale MU (4607076) 00000 (  4.9%),35,35,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,135,135,40,15,15,0,35,35,25,40,40,0,25,25,0,25,25,0
Norfolk-Treherne MU (4608032) 00000 (  9.6%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,95,25,0,0,0,50,45,0,15,15,0,25,25,0,0,0,0
Victoria RM (4608042) 00000 (  7.1%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,20,0,0,0,0,0,0,0,0,0,15,15,0,15,15,0
North Norfolk MU (4608046) 00000 (  7.0%),35,35,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,150,145,20,0,0,0,60,60,0,35,35,0,25,25,0,20,20,0
Glenella-Lansdowne MU (4608055) 00000 (  6.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
WestLake-Gladstone MU (4608060) 00100 (  3.3%),35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,55,55,0,15,15,0,35,35,0,30,30,0
Grey RM (4609018) 00000 (  5.6%),15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,110,110,50,0,0,0,30,30,20,20,20,0,30,30,0,25,25,0
Portage la Prairie RM (4609024) 00001 (  8.1%),20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,330,30,20,15,0,90,90,10,115,115,0,70,70,0,45,45,0
Portage la Prairie CY (4609029) 00000 (  6.4%),445,430,180,120,100,95,180,180,45,100,100,30,20,20,0,30,30,0,1520,1475,220,60,25,20,480,470,155,400,395,40,320,320,0,260,260,0
Macdonald RM (4610035) 00000 (  6.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,120,30,40,30,20,60,60,0,30,30,0,0,0,0,0,0,0
Cartier RM (4610043) 00000 (  6.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,25,0,0,0,65,65,25,15,15,0,0,0,0,0,0,0
St. François Xavier RM (4610052) 00000 (  3.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnipeg CY (4611040) 00000 (  3.9%),17930,16990,7805,4410,3530,2925,8875,8820,3870,3015,3015,935,1190,1190,80,440,440,0,80155,74675,17595,7330,2385,1985,20160,19630,11960,21980,21970,3415,17520,17520,240,13170,13170,0
Headingley RM (4611042) 01000 (  1.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,15,0,0,20,20,0,15,15,0,0,0,0,0,0,0
Springfield RM (4612047) 00000 (  5.9%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,210,50,25,15,15,80,80,35,60,60,0,40,40,0,15,15,0
Brokenhead RM (4612054) 00000 (  6.6%),25,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,75,70,0,0,0,0,25,25,0,0,0,0,20,20,0,0,0,0
